service_id,service_name,cloud_provider,category,approval_status,approved_regions,service_owner,last_review_date,next_review_date,ea_approval,cada_approval,risk_level,approved_capabilities,approved_use_cases,prohibited_use_cases,required_controls,nist_functions,governance_decision,current_blockers,recommended_actions,action_owner,target_action_date,risk_acceptance_required,compensating_controls,description
SVC-013,Amazon EC2,AWS,Compute,Approved,us-east-1;us-west-2,Cloud Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Virtual Machines;Autoscaling;Approved Operating Systems,Enterprise Applications;Approved Compute Workloads,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Encryption;Systems Manager;Logging;Private Networking;Patching,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Engineering,2027-04-01,No,Not Required,Amazon EC2 is approved for documented enterprise use cases when required controls are implemented
SVC-014,AWS Lambda,AWS,Compute,Approved,us-east-1;us-west-2,Cloud Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Serverless Compute;Event Processing;Automation,Automation;Data Processing;Approved API Workloads,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,IAM Roles;Logging;Encryption;Secrets Management,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Engineering,2027-04-01,No,Not Required,AWS Lambda is approved for documented enterprise use cases when required controls are implemented
SVC-015,AWS Identity and Access Management,AWS,Identity,Approved,us-east-1;us-west-2,Identity Security,2026-04-01,2027-04-01,Approved,Approved,High,Identity Management;Role Management;Policy Enforcement,Workforce Access;Service Access;Least-Privilege Administration,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,MFA;Least Privilege;Logging;Access Reviews;Separation of Duties,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Identity Security,2027-04-01,No,Not Required,AWS Identity and Access Management is approved for documented enterprise use cases when required controls are implemented
SVC-016,Amazon EKS,AWS,Containers,Approved,us-east-1;us-west-2,Container Platform,2026-04-01,2027-04-01,Approved,Approved,High,Container Orchestration;Managed Kubernetes;Autoscaling,Approved Container Platforms;Application Modernization,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Private Endpoint;RBAC;Image Scanning;Logging;Network Policies,Govern;Protect;Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Container Platform,2027-04-01,No,Not Required,Amazon EKS is approved for documented enterprise use cases when required controls are implemented
SVC-017,Amazon CloudWatch,AWS,Monitoring,Approved,us-east-1;us-west-2,Observability,2026-04-01,2027-04-01,Approved,Approved,Medium,Metrics;Logging;Alerting;Operational Dashboards,Security Monitoring;Performance Monitoring;Incident Detection,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Log Retention;Encryption;RBAC;Alerting,Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Observability,2027-04-01,No,Not Required,Amazon CloudWatch is approved for documented enterprise use cases when required controls are implemented
SVC-018,AWS Secrets Manager,AWS,Security,Approved,us-east-1;us-west-2,Cloud Security,2026-04-01,2027-04-01,Approved,Approved,Low,Secrets Management;Credential Rotation;Encryption,Application Secrets;Database Credentials;API Credentials,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Encryption;Least Privilege;Rotation;Logging,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Security,2027-04-01,No,Not Required,AWS Secrets Manager is approved for documented enterprise use cases when required controls are implemented
SVC-019,Google Compute Engine,GCP,Compute,Approved,us-central1;us-east1,Cloud Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Virtual Machines;Autoscaling;Approved Machine Images,Enterprise Applications;Approved Compute Workloads,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Encryption;Private Networking;Logging;Patching;IAM,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Engineering,2027-04-01,No,Not Required,Google Compute Engine is approved for documented enterprise use cases when required controls are implemented
SVC-020,Google Kubernetes Engine,GCP,Containers,Approved,us-central1;us-east1,Container Platform,2026-04-01,2027-04-01,Approved,Approved,High,Container Orchestration;Managed Kubernetes;Autoscaling,Approved Container Platforms;Application Modernization,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Private Cluster;IAM;Image Scanning;Logging;Network Policies,Govern;Protect;Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Container Platform,2027-04-01,No,Not Required,Google Kubernetes Engine is approved for documented enterprise use cases when required controls are implemented
SVC-021,Google Cloud SQL,GCP,Database,Approved,us-central1;us-east1,Database Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Managed SQL Database;Backups;Encryption;High Availability,Approved Application Databases;Production Databases,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Private IP;Encryption;Audit Logging;Backups;Least Privilege,Govern;Protect;Recover,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Database Engineering,2027-04-01,No,Not Required,Google Cloud SQL is approved for documented enterprise use cases when required controls are implemented
SVC-022,Google Secret Manager,GCP,Security,Approved,us-central1;us-east1,Cloud Security,2026-04-01,2027-04-01,Approved,Approved,Low,Secrets Management;Versioning;Encryption,Application Secrets;API Credentials;Service Credentials,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,IAM;Encryption;Rotation;Audit Logging,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Security,2027-04-01,No,Not Required,Google Secret Manager is approved for documented enterprise use cases when required controls are implemented
SVC-023,Google Cloud Logging,GCP,Monitoring,Approved,us-central1;us-east1,Observability,2026-04-01,2027-04-01,Approved,Approved,Medium,Centralized Logging;Alerting;Security Telemetry,Operational Monitoring;Security Monitoring;Audit Reporting,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,Log Retention;Encryption;IAM;Alerting,Detect;Respond,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Observability,2027-04-01,No,Not Required,Google Cloud Logging is approved for documented enterprise use cases when required controls are implemented
SVC-024,Google Cloud Functions,GCP,Compute,Approved,us-central1;us-east1,Cloud Engineering,2026-04-01,2027-04-01,Approved,Approved,Medium,Serverless Compute;Event Processing;Automation,Automation;Approved APIs;Data Processing,Public Exposure;Unencrypted Sensitive Data;Unsupported Regions,IAM;Encryption;Logging;Secrets Management,Govern;Protect;Detect,Approved with Standard Controls,No active blockers,Maintain required controls;Complete annual governance review,Cloud Engineering,2027-04-01,No,Not Required,Google Cloud Functions is approved for documented enterprise use cases when required controls are implemented
